"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0051788"	2277.97588889075	-2.34952897490254	0.0874173535418395	-26.8771460094364	4.06369939452495e-159	4.79003634455606e-157	"CG31788"	"Q8INX9"	"Dmel\CG31788"
"FBgn0051793"	49.3625663712387	-1.50770520027457	0.486644850834675	-3.09816326565176	0.0019472412069824	0.0034472813493691	"CG31793"	"X2JAE9"	"CG10441"
"FBgn0051804"	300.32553384933	-1.19628735131711	0.200354774726216	-5.97084523167381	2.36027567677717e-09	7.43734933603727e-09	"CG31804"	"Q8INY9"	"Dmel\CG31804"
"FBgn0051807"	229.124963208284	-1.41912398986546	0.285271259066774	-4.97464761963029	6.53664361157079e-07	1.67429093012829e-06	"CG31807"	"X2JAL6"	"Dmel\CG31807"
"FBgn0051812"	26.9598471625304	-2.68403549345887	0.393851763267724	-6.81483680862531	9.4370829676606e-12	3.50598605600879e-11	"CG31812"	"Q8IP11"	"Dmel\CG31812"
"FBgn0051816"	431.010464076397	-1.46179022347645	0.25160595545447	-5.80983952003861	6.25327552448336e-09	1.90373666355949e-08	"CG31816"	"Q8IP17"	"Dmel\CG31816"
"FBgn0051820"	3357.54565484769	-0.93593078962096	0.212969730338691	-4.39466579655486	1.10943302456935e-05	2.53760858163084e-05	"CG31820"	"Q8IP27"	"Dmel\CG31820"
"FBgn0051852"	222.54472658585	-0.902016147661599	0.195273647716592	-4.61924155260689	3.85145279210276e-06	9.18854162879143e-06	"Tap42"	"Q9VJZ5"	"CG31852"
"FBgn0051855"	321.889990424684	-1.5077153622786	0.144760654737613	-10.4152289516196	2.11288580453256e-25	1.52421548145156e-24	"CG31855"	"Q8IP73"	"CG6537"
"FBgn0051864"	17.929302515659	-3.84717795404592	0.708770238788743	-5.42796204397716	5.70011574247124e-08	1.60271202476478e-07	"Qtzl"	"Q8IPA0"	"CG17749"
"FBgn0051865"	7.84465634168381	-2.88919591822745	0.739185642989974	-3.90862017630751	9.28247694209804e-05	0.000191599035283938	"Ada1-1"	"Q8IP99"	"Ada1"
"FBgn0051909"	684.115922985078	-1.79079500033525	0.194745763846051	-9.19555303781035	3.73070528847162e-20	2.18286712806429e-19	"CG31909"	"Q8IPI2"	"Dmel\CG31909"
"FBgn0051922"	47.6283427128034	-4.08214559813877	0.457072252676276	-8.93107287575815	4.21897052921902e-19	2.35722600990557e-18	"CG31922"	"Q8IPW7"	"20K"
"FBgn0051950"	287.09366990721	-2.3417574335547	0.16136569208899	-14.5121147081454	1.01541191010777e-47	1.4853151807974e-46	"CG31950"	"Q8IPZ7"	"Dmel\CG31950"
"FBgn0051955"	13.5696315868156	-3.95627549389654	0.853146783773886	-4.63727411172553	3.53034092843576e-06	8.45735383033517e-06	"CG31955"	"M9MSG2"	"Dmel\CG31955"
"FBgn0051957"	224.292202513639	-1.31824245421102	0.192362037106672	-6.85292417380675	7.23554439175982e-12	2.70297675262634e-11	"CG31957"	"M9PEE8"	"Dmel\CG31957"
"FBgn0051958"	37.1000834596372	-1.45202576294179	0.380705516038211	-3.81403920293093	0.000136713766704531	0.000277287310651472	"CR31958"	NA	"CG10022"
"FBgn0051960"	381.532142818747	-1.36493668521515	0.246080783400563	-5.54670164144166	2.9110886495204e-08	8.40711876637184e-08	"CG31960"	"Q8IQ15"	"CBP1"
"FBgn0051961"	101.401642080665	-0.912202010516774	0.194795162692735	-4.68287814700851	2.82874685844523e-06	6.84003497478262e-06	"TBCC"	"Q95TP0"	"BcDNA:LD34582"
"FBgn0051997"	8.2624414781923	-6.18539989724119	1.12651120968313	-5.49075752116222	4.00213488961909e-08	1.14034075791752e-07	"CG31997"	"Q8SYQ4"	"BEST:GH25016"
"FBgn0052027"	6.89794238629432	-2.51797069785977	0.78077164371072	-3.2249771340219	0.0012598273067263	0.00227951763501699	NA	NA	NA
"FBgn0052036"	3.3055661580943	-3.88276925686816	1.38642936260321	-2.80055324966411	0.00510150899978851	0.00858929701378898	"CG32036"	"Q9VT02"	"CG3426"
"FBgn0052037"	7.32383475432498	-2.28210272681494	0.743222881483954	-3.0705496072166	0.00213665189056379	0.0037716037515753	"CG32037"	"Q95RP1"	"CG3426"
"FBgn0052039"	214.585100510161	-3.10131548899215	0.418670490843526	-7.4075330285249	1.28670445866379e-13	5.36834324145605e-13	"CG32039"	"Q8IQC6"	"BEST:GH02734"
"FBgn0052056"	67.8550177686476	-1.74975616637093	0.293350120476108	-5.96473648461802	2.45029155945281e-09	7.70898932970112e-09	"scramb1"	"Q9VT88"	"CG32056"
"FBgn0052061"	368.001091381184	-0.432747537403088	0.113277395468	-3.82024618076019	0.000133318539570549	0.000270898809862097	"CG32061"	"Q9VT96"	"CG8040"
"FBgn0052066"	290.359237807067	-1.09221205379764	0.125993751709446	-8.6687795146889	4.36776816092319e-18	2.34123943672267e-17	"CG32066"	"Q7K1H0"	"CG6487"
"FBgn0052068"	308.641984271116	-3.26190625749366	0.345107739971426	-9.45184903057734	3.32897300041133e-21	2.04539783390658e-20	"Adi1"	"Q6AWN0"	"CG32068"
