gsm	title	source name	organism
GSM2647241	dyak_RE_m_r3	reproductive system without gonad	Drosophila yakuba
GSM2647242	dyak_TX_f_r1	thorax without digestive system	Drosophila yakuba
GSM2647243	dyak_TX_f_r2	thorax without digestive system	Drosophila yakuba
GSM2647244	dyak_TX_f_r3	thorax without digestive system	Drosophila yakuba
GSM2647245	dyak_TX_m_r1	thorax without digestive system	Drosophila yakuba
GSM2647246	dyak_TX_m_r2	thorax without digestive system	Drosophila yakuba
GSM2647247	dyak_TX_m_r3	thorax without digestive system	Drosophila yakuba
GSM2647248	dyak_WB_f_r1	whole body	Drosophila yakuba
GSM2647249	dyak_WB_f_r2	whole body	Drosophila yakuba
GSM2647250	dyak_WB_f_r3	whole body	Drosophila yakuba
GSM2647251	dyak_WB_m_r1	whole body	Drosophila yakuba
GSM2647252	dyak_WB_m_r2	whole body	Drosophila yakuba
GSM2647253	dyak_WB_m_r3	whole body	Drosophila yakuba
GSM2647254	orgR_AC_f_r1	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647255	orgR_AC_f_r2	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647256	orgR_AC_f_r3	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647257	orgR_AC_m_r1	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647258	orgR_AC_m_r2	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647259	orgR_AC_m_r3	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647260	orgR_DG_f_r1	digestive plus excretory system	Drosophila melanogaster
GSM2647261	orgR_DG_f_r2	digestive plus excretory system	Drosophila melanogaster
GSM2647262	orgR_DG_f_r3	digestive plus excretory system	Drosophila melanogaster
GSM2647263	orgR_DG_m_r1	digestive plus excretory system	Drosophila melanogaster
GSM2647264	orgR_DG_m_r2	digestive plus excretory system	Drosophila melanogaster
GSM2647265	orgR_DG_m_r3	digestive plus excretory system	Drosophila melanogaster
GSM2647266	orgR_GE_f_r1	genitalia	Drosophila melanogaster
GSM2647267	orgR_GE_f_r2	genitalia	Drosophila melanogaster
GSM2647268	orgR_GE_f_r3	genitalia	Drosophila melanogaster
GSM2647269	orgR_GE_m_r1	genitalia	Drosophila melanogaster
GSM2647270	orgR_GE_m_r2	genitalia	Drosophila melanogaster
GSM2647271	orgR_GE_m_r3	genitalia	Drosophila melanogaster
GSM2647272	orgR_GO_f_r1	gonad	Drosophila melanogaster
GSM2647273	orgR_GO_f_r2	gonad	Drosophila melanogaster
GSM2647274	orgR_GO_f_r3	gonad	Drosophila melanogaster
GSM2647275	orgR_GO_m_r1	gonad	Drosophila melanogaster
GSM2647276	orgR_GO_m_r2	gonad	Drosophila melanogaster
GSM2647277	orgR_GO_m_r3	gonad	Drosophila melanogaster
GSM2647278	orgR_HD_f_r1	head	Drosophila melanogaster
GSM2647279	orgR_HD_f_r2	head	Drosophila melanogaster
GSM2647280	orgR_HD_f_r3	head	Drosophila melanogaster
GSM2647281	orgR_HD_m_r1	head	Drosophila melanogaster
GSM2647282	orgR_HD_m_r2	head	Drosophila melanogaster
GSM2647283	orgR_HD_m_r3	head	Drosophila melanogaster
GSM2647284	orgR_RE_f_r1	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647285	orgR_RE_f_r2	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647286	orgR_RE_f_r3	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647287	orgR_RE_m_r1	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647288	orgR_RE_m_r2	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647289	orgR_RE_m_r3	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647290	orgR_TX_f_r1	thorax without digestive system	Drosophila melanogaster
GSM2647291	orgR_TX_f_r2	thorax without digestive system	Drosophila melanogaster
GSM2647292	orgR_TX_f_r3	thorax without digestive system	Drosophila melanogaster
GSM2647293	orgR_TX_m_r1	thorax without digestive system	Drosophila melanogaster
GSM2647294	orgR_TX_m_r2	thorax without digestive system	Drosophila melanogaster
