samplename	GSM	BioSample	SRX	species	FBsp	dev_stage	tissue	sex	rep	plate	row	col
dpse_DG_m_r2	GSM2647096	SAMN07188493	SRX2877805	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	male	2	1	H	2
dpse_DG_m_r3	GSM2647097	SAMN07188492	SRX2877806	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	male	3	1	H	3
dpse_GO_f_r1	GSM2647098	SAMN07188489	SRX2877807	Drosophila pseudoobscura	FBsp00000201	adult	gonad	female	1	1	E	5
dpse_GO_f_r2	GSM2647099	SAMN07188488	SRX2877808	Drosophila pseudoobscura	FBsp00000201	adult	gonad	female	2	1	E	7
dpse_GO_f_r3	GSM2647100	SAMN07188584	SRX2877809	Drosophila pseudoobscura	FBsp00000201	adult	gonad	female	3	1	E	8
dpse_GO_m_r1	GSM2647101	SAMN07188583	SRX2877810	Drosophila pseudoobscura	FBsp00000201	adult	gonad	male	1	1	E	2
dpse_GO_m_r2	GSM2647102	SAMN07188582	SRX2877811	Drosophila pseudoobscura	FBsp00000201	adult	gonad	male	2	1	E	3
dpse_GO_m_r3	GSM2647103	SAMN07188581	SRX2877812	Drosophila pseudoobscura	FBsp00000201	adult	gonad	male	3	1	E	4
dpse_HD_f_r1	GSM2647104	SAMN07188580	SRX2877813	Drosophila pseudoobscura	FBsp00000201	adult	head	female	1	1	B	5
dpse_HD_f_r2	GSM2647105	SAMN07188579	SRX2877814	Drosophila pseudoobscura	FBsp00000201	adult	head	female	2	1	B	7
dpse_HD_f_r3	GSM2647106	SAMN07188578	SRX2877815	Drosophila pseudoobscura	FBsp00000201	adult	head	female	3	1	B	8
dpse_HD_m_r1	GSM2647107	SAMN07188577	SRX2877816	Drosophila pseudoobscura	FBsp00000201	adult	head	male	1	1	B	2
dpse_HD_m_r2	GSM2647108	SAMN07188576	SRX2877817	Drosophila pseudoobscura	FBsp00000201	adult	head	male	2	1	B	3
dpse_HD_m_r3	GSM2647109	SAMN07188575	SRX2877818	Drosophila pseudoobscura	FBsp00000201	adult	head	male	3	1	B	4
dpse_RE_f_r1	GSM2647110	SAMN07188574	SRX2877819	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	female	1	1	F	5
dpse_RE_f_r2	GSM2647111	SAMN07188573	SRX2877820	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	female	2	1	F	7
dpse_RE_f_r3	GSM2647112	SAMN07188572	SRX2877821	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	female	3	1	F	8
dpse_RE_m_r1	GSM2647113	SAMN07188571	SRX2877822	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	male	1	1	F	1
dpse_RE_m_r2	GSM2647114	SAMN07188570	SRX2877823	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	male	2	1	F	2
dpse_RE_m_r3	GSM2647115	SAMN07188569	SRX2877824	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	male	3	1	F	3
dpse_TX_f_r1	GSM2647116	SAMN07188568	SRX2877825	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	female	1	1	C	6
dpse_TX_f_r2	GSM2647117	SAMN07188567	SRX2877826	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	female	2	1	C	7
dpse_TX_f_r3	GSM2647118	SAMN07188566	SRX2877827	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	female	3	1	C	8
dpse_TX_m_r1	GSM2647119	SAMN07188565	SRX2877828	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	male	1	1	C	1
dpse_TX_m_r2	GSM2647120	SAMN07188564	SRX2877829	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	male	2	1	C	3
dpse_TX_m_r3	GSM2647121	SAMN07188563	SRX2877830	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	male	3	1	C	4
dpse_WB_f_r1	GSM2647122	SAMN07188562	SRX2877831	Drosophila pseudoobscura	FBsp00000201	adult	whole body	female	1	1	A	5
dpse_WB_f_r2	GSM2647123	SAMN07188561	SRX2877832	Drosophila pseudoobscura	FBsp00000201	adult	whole body	female	2	1	A	6
dpse_WB_f_r3	GSM2647124	SAMN07188560	SRX2877833	Drosophila pseudoobscura	FBsp00000201	adult	whole body	female	3	1	A	8
dpse_WB_m_r1	GSM2647125	SAMN07188559	SRX2877834	Drosophila pseudoobscura	FBsp00000201	adult	whole body	male	1	1	A	1
dpse_WB_m_r2	GSM2647126	SAMN07188558	SRX2877835	Drosophila pseudoobscura	FBsp00000201	adult	whole body	male	2	1	A	2
dpse_WB_m_r3	GSM2647127	SAMN07188557	SRX2877836	Drosophila pseudoobscura	FBsp00000201	adult	whole body	male	3	1	A	3
dvir_AC_f_r1	GSM2647128	SAMN07188556	SRX2877837	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	female	1	1	D	5
dvir_AC_f_r2	GSM2647129	SAMN07188555	SRX2877838	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	female	2	1	D	6
dvir_AC_f_r3	GSM2647130	SAMN07188554	SRX2877839	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	female	3	1	D	7
dvir_AC_m_r1	GSM2647131	SAMN07188553	SRX2877840	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	male	1	1	D	1
dvir_AC_m_r2	GSM2647132	SAMN07188552	SRX2877841	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	male	2	1	D	3
dvir_AC_m_r3	GSM2647133	SAMN07188551	SRX2877842	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	male	3	1	D	4
dvir_DG_f_r1	GSM2647134	SAMN07188550	SRX2877843	Drosophila virilis	FBsp00000251	adult	digestive plus excretory system	female	1	1	H	6
dvir_DG_f_r2	GSM2647135	SAMN07188549	SRX2877844	Drosophila virilis	FBsp00000251	adult	digestive plus excretory system	female	2	1	H	7
dvir_DG_f_r3	GSM2647136	SAMN07188548	SRX2877845	Drosophila virilis	FBsp00000251	adult	digestive plus excretory system	female	3	1	H	8
dvir_DG_m_r1	GSM2647137	SAMN07188547	SRX2877846	Drosophila virilis	FBsp00000251	adult	digestive plus excretory system	male	1	1	H	1
dvir_DG_m_r2	GSM2647138	SAMN07188546	SRX2877847	Drosophila virilis	FBsp00000251	adult	digestive plus excretory system	male	2	1	H	2
dvir_DG_m_r3	GSM2647139	SAMN07188545	SRX2877848	Drosophila virilis	FBsp00000251	adult	digestive plus excretory system	male	3	1	H	3
dvir_GO_f_r1	GSM2647140	SAMN07188544	SRX2877849	Drosophila virilis	FBsp00000251	adult	gonad	female	1	1	E	5
dvir_GO_f_r2	GSM2647141	SAMN07188543	SRX2877850	Drosophila virilis	FBsp00000251	adult	gonad	female	2	1	E	7
dvir_GO_f_r3	GSM2647142	SAMN07188542	SRX2877851	Drosophila virilis	FBsp00000251	adult	gonad	female	3	1	E	8
dvir_GO_m_r1	GSM2647143	SAMN07188541	SRX2877852	Drosophila virilis	FBsp00000251	adult	gonad	male	1	1	E	2
dvir_GO_m_r2	GSM2647144	SAMN07188540	SRX2877853	Drosophila virilis	FBsp00000251	adult	gonad	male	2	1	E	3
dvir_GO_m_r3	GSM2647145	SAMN07188539	SRX2877854	Drosophila virilis	FBsp00000251	adult	gonad	male	3	1	E	4
dvir_HD_f_r1	GSM2647146	SAMN07188538	SRX2877855	Drosophila virilis	FBsp00000251	adult	head	female	1	1	B	5
